CBSA,Year,AQI
"Dallas-Fort Worth-Arlington, TX",1990,77.69098712
"Dallas-Fort Worth-Arlington, TX",1991,75.29707113
"Dallas-Fort Worth-Arlington, TX",1992,70.78297872
"Dallas-Fort Worth-Arlington, TX",1993,65.72103004
"Dallas-Fort Worth-Arlington, TX",1994,81.68076923
"Dallas-Fort Worth-Arlington, TX",1995,91.60538117
"Dallas-Fort Worth-Arlington, TX",1996,85.8877551
"Dallas-Fort Worth-Arlington, TX",1997,83.04803493
"Dallas-Fort Worth-Arlington, TX",1998,97.87064677
"Dallas-Fort Worth-Arlington, TX",1999,107.7368421
"Dallas-Fort Worth-Arlington, TX",2000,115.1229508
"Dallas-Fort Worth-Arlington, TX",2001,98.82580645
"Dallas-Fort Worth-Arlington, TX",2002,95.7125
"Dallas-Fort Worth-Arlington, TX",2003,95.50299401
"Dallas-Fort Worth-Arlington, TX",2004,87.56097561
"Dallas-Fort Worth-Arlington, TX",2005,106.3636364
"Dallas-Fort Worth-Arlington, TX",2006,91.89944134
"Dallas-Fort Worth-Arlington, TX",2007,79.59210526
"Dallas-Fort Worth-Arlington, TX",2008,77.53142857
"Dallas-Fort Worth-Arlington, TX",2009,76.5
"Dallas-Fort Worth-Arlington, TX",2010,66.81865285
"Dallas-Fort Worth-Arlington, TX",2011,83.26960784
"Dallas-Fort Worth-Arlington, TX",2012,79.02040816
"Dallas-Fort Worth-Arlington, TX",2013,75.04395604
"Dallas-Fort Worth-Arlington, TX",2014,62.64824121
"Dallas-Fort Worth-Arlington, TX",2015,64.69333333
"Dallas-Fort Worth-Arlington, TX",2016,56.71900826
"Dallas-Fort Worth-Arlington, TX",2017,62.10526316
