CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-02,31,Good,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-05,67,Moderate,Ozone,13-085-0001,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-06,77,Moderate,Ozone,13-085-0001,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-08,34,Good,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-11,80,Moderate,Ozone,13-085-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-13,87,Moderate,Ozone,13-085-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-14,49,Good,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-15,41,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-22,97,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-23,119,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-24,100,Moderate,Ozone,13-085-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-28,80,Moderate,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-29,44,Good,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-30,33,Good,Ozone,13-085-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-02,47,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-05,112,Unhealthy for Sensitive Groups,Ozone,13-247-0001,12
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-06,64,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-08,58,Moderate,Ozone,13-085-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-09,97,Moderate,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-10,40,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-13,74,Moderate,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-14,87,Moderate,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-17,87,Moderate,Ozone,13-247-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-18,54,Moderate,Ozone,13-085-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-19,58,Moderate,Ozone,13-085-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-20,48,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-23,90,Moderate,Ozone,13-223-0002,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-24,105,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-25,136,Unhealthy for Sensitive Groups,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-26,140,Unhealthy for Sensitive Groups,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-27,93,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-29,61,Moderate,Ozone,13-085-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-01,97,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-03,140,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-04,47,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-07,115,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-08,122,Unhealthy for Sensitive Groups,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-12,105,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-15,174,Unhealthy,Ozone,13-085-0001,11
