CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-01,77,Moderate,SO2,13-121-0048,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-02,36,Good,NO2,13-121-0048,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-03,42,Good,NO2,13-121-0048,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-04,59,Moderate,SO2,13-121-0053,6
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-05,34,Good,NO2,13-121-0048,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-06,28,Good,NO2,13-089-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-07,26,Good,CO,13-121-0052,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-08,55,Moderate,NO2,13-089-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-09,34,Good,SO2,13-121-0053,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-10,65,Moderate,SO2,13-121-0053,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-11,72,Moderate,PM10,13-089-2001,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-12,60,Moderate,SO2,13-121-0053,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-13,87,Moderate,SO2,13-015-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-14,65,Moderate,SO2,13-015-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-15,68,Moderate,NO2,13-121-0048,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-16,80,Moderate,NO2,13-121-0048,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-17,42,Good,NO2,13-121-0048,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-18,57,Moderate,SO2,13-121-0053,6
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-19,33,Good,NO2,13-121-0052,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-20,23,Good,NO2,13-121-0048,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-21,77,Moderate,SO2,13-121-0048,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-22,109,Unhealthy for Sensitive Groups,SO2,13-121-0048,5
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-23,67,Moderate,NO2,13-121-0048,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-24,49,Good,NO2,13-121-0048,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-25,39,Good,SO2,13-015-0002,7
