,CBSA,Year,Defining Parameter,AQI
0,"Atlanta-Sandy Springs-Roswell, GA",1990,CO,38.333333333333336
1,"Atlanta-Sandy Springs-Roswell, GA",1990,NO2,43.767857142857146
2,"Atlanta-Sandy Springs-Roswell, GA",1990,Ozone,119.29824561403508
3,"Atlanta-Sandy Springs-Roswell, GA",1990,PM10,58.4
4,"Atlanta-Sandy Springs-Roswell, GA",1990,SO2,82.9322033898305
5,"Atlanta-Sandy Springs-Roswell, GA",1991,CO,44.30769230769231
6,"Atlanta-Sandy Springs-Roswell, GA",1991,NO2,44.8
7,"Atlanta-Sandy Springs-Roswell, GA",1991,Ozone,84.66483516483517
8,"Atlanta-Sandy Springs-Roswell, GA",1991,PM10,48.5
9,"Atlanta-Sandy Springs-Roswell, GA",1991,SO2,86.0813953488372
10,"Atlanta-Sandy Springs-Roswell, GA",1992,CO,38.5
11,"Atlanta-Sandy Springs-Roswell, GA",1992,NO2,44.349514563106794
12,"Atlanta-Sandy Springs-Roswell, GA",1992,Ozone,93.39864864864865
13,"Atlanta-Sandy Springs-Roswell, GA",1992,SO2,79.47787610619469
14,"Atlanta-Sandy Springs-Roswell, GA",1993,CO,41.666666666666664
15,"Atlanta-Sandy Springs-Roswell, GA",1993,NO2,40.65
16,"Atlanta-Sandy Springs-Roswell, GA",1993,Ozone,103.12682926829268
17,"Atlanta-Sandy Springs-Roswell, GA",1993,PM10,33.5
18,"Atlanta-Sandy Springs-Roswell, GA",1993,SO2,74.6413043478261
19,"Atlanta-Sandy Springs-Roswell, GA",1994,CO,35.78947368421053
20,"Atlanta-Sandy Springs-Roswell, GA",1994,NO2,44.7887323943662
21,"Atlanta-Sandy Springs-Roswell, GA",1994,Ozone,81.42564102564103
22,"Atlanta-Sandy Springs-Roswell, GA",1994,PM10,40.0
23,"Atlanta-Sandy Springs-Roswell, GA",1994,SO2,64.35064935064935
24,"Atlanta-Sandy Springs-Roswell, GA",1995,CO,36.470588235294116
25,"Atlanta-Sandy Springs-Roswell, GA",1995,NO2,42.86666666666667
26,"Atlanta-Sandy Springs-Roswell, GA",1995,Ozone,96.92647058823529
27,"Atlanta-Sandy Springs-Roswell, GA",1995,PM10,39.4
28,"Atlanta-Sandy Springs-Roswell, GA",1995,SO2,63.38709677419355
29,"Atlanta-Sandy Springs-Roswell, GA",1996,CO,33.6
30,"Atlanta-Sandy Springs-Roswell, GA",1996,NO2,49.6993006993007
31,"Atlanta-Sandy Springs-Roswell, GA",1996,Ozone,96.3546511627907
32,"Atlanta-Sandy Springs-Roswell, GA",1996,PM10,44.166666666666664
33,"Atlanta-Sandy Springs-Roswell, GA",1996,SO2,62.025
34,"Atlanta-Sandy Springs-Roswell, GA",1997,CO,32.25
35,"Atlanta-Sandy Springs-Roswell, GA",1997,NO2,47.37096774193548
36,"Atlanta-Sandy Springs-Roswell, GA",1997,Ozone,98.03614457831326
37,"Atlanta-Sandy Springs-Roswell, GA",1997,PM10,47.0
38,"Atlanta-Sandy Springs-Roswell, GA",1997,SO2,66.04477611940298
39,"Atlanta-Sandy Springs-Roswell, GA",1998,CO,25.0
40,"Atlanta-Sandy Springs-Roswell, GA",1998,NO2,42.97520661157025
41,"Atlanta-Sandy Springs-Roswell, GA",1998,Ozone,119.7807486631016
42,"Atlanta-Sandy Springs-Roswell, GA",1998,PM10,41.857142857142854
43,"Atlanta-Sandy Springs-Roswell, GA",1998,SO2,61.2
44,"Atlanta-Sandy Springs-Roswell, GA",1999,NO2,61.23809523809524
45,"Atlanta-Sandy Springs-Roswell, GA",1999,Ozone,149.9448818897638
46,"Atlanta-Sandy Springs-Roswell, GA",1999,PM10,49.0
47,"Atlanta-Sandy Springs-Roswell, GA",1999,PM2.5,75.08762886597938
48,"Atlanta-Sandy Springs-Roswell, GA",1999,SO2,84.63636363636364
49,"Atlanta-Sandy Springs-Roswell, GA",2000,NO2,61.5
50,"Atlanta-Sandy Springs-Roswell, GA",2000,Ozone,128.45384615384614
51,"Atlanta-Sandy Springs-Roswell, GA",2000,PM2.5,72.29797979797979
52,"Atlanta-Sandy Springs-Roswell, GA",2000,SO2,65.8076923076923
53,"Atlanta-Sandy Springs-Roswell, GA",2001,NO2,66.72727272727273
54,"Atlanta-Sandy Springs-Roswell, GA",2001,Ozone,110.42056074766356
55,"Atlanta-Sandy Springs-Roswell, GA",2001,PM10,69.33333333333333
56,"Atlanta-Sandy Springs-Roswell, GA",2001,PM2.5,68.94845360824742
57,"Atlanta-Sandy Springs-Roswell, GA",2001,SO2,79.5
58,"Atlanta-Sandy Springs-Roswell, GA",2002,NO2,63.45
59,"Atlanta-Sandy Springs-Roswell, GA",2002,Ozone,121.875
60,"Atlanta-Sandy Springs-Roswell, GA",2002,PM2.5,58.82211538461539
61,"Atlanta-Sandy Springs-Roswell, GA",2002,SO2,73.8
62,"Atlanta-Sandy Springs-Roswell, GA",2003,NO2,54.875
63,"Atlanta-Sandy Springs-Roswell, GA",2003,Ozone,108.10752688172043
64,"Atlanta-Sandy Springs-Roswell, GA",2003,PM10,70.0
65,"Atlanta-Sandy Springs-Roswell, GA",2003,PM2.5,60.95794392523364
66,"Atlanta-Sandy Springs-Roswell, GA",2003,SO2,63.40816326530612
67,"Atlanta-Sandy Springs-Roswell, GA",2004,NO2,62.125
68,"Atlanta-Sandy Springs-Roswell, GA",2004,Ozone,92.81651376146789
69,"Atlanta-Sandy Springs-Roswell, GA",2004,PM10,35.0
70,"Atlanta-Sandy Springs-Roswell, GA",2004,PM2.5,65.12962962962963
71,"Atlanta-Sandy Springs-Roswell, GA",2004,SO2,74.75
72,"Atlanta-Sandy Springs-Roswell, GA",2005,NO2,59.09090909090909
73,"Atlanta-Sandy Springs-Roswell, GA",2005,Ozone,107.60169491525424
74,"Atlanta-Sandy Springs-Roswell, GA",2005,PM2.5,61.801980198019805
75,"Atlanta-Sandy Springs-Roswell, GA",2005,SO2,71.29411764705883
76,"Atlanta-Sandy Springs-Roswell, GA",2006,NO2,45.0
77,"Atlanta-Sandy Springs-Roswell, GA",2006,Ozone,118.99137931034483
78,"Atlanta-Sandy Springs-Roswell, GA",2006,PM2.5,65.88151658767772
79,"Atlanta-Sandy Springs-Roswell, GA",2006,SO2,74.20689655172414
80,"Atlanta-Sandy Springs-Roswell, GA",2007,NO2,45.666666666666664
81,"Atlanta-Sandy Springs-Roswell, GA",2007,Ozone,111.0
82,"Atlanta-Sandy Springs-Roswell, GA",2007,PM2.5,66.81592039800995
83,"Atlanta-Sandy Springs-Roswell, GA",2007,SO2,63.333333333333336
84,"Atlanta-Sandy Springs-Roswell, GA",2008,NO2,45.22222222222222
85,"Atlanta-Sandy Springs-Roswell, GA",2008,Ozone,99.55263157894737
86,"Atlanta-Sandy Springs-Roswell, GA",2008,PM2.5,59.691588785046726
87,"Atlanta-Sandy Springs-Roswell, GA",2008,SO2,59.6551724137931
88,"Atlanta-Sandy Springs-Roswell, GA",2009,NO2,35.7
89,"Atlanta-Sandy Springs-Roswell, GA",2009,Ozone,77.88421052631578
90,"Atlanta-Sandy Springs-Roswell, GA",2009,PM2.5,56.093023255813954
91,"Atlanta-Sandy Springs-Roswell, GA",2009,SO2,82.0
92,"Atlanta-Sandy Springs-Roswell, GA",2010,NO2,38.55555555555556
93,"Atlanta-Sandy Springs-Roswell, GA",2010,Ozone,83.53020134228188
94,"Atlanta-Sandy Springs-Roswell, GA",2010,PM2.5,56.52450980392157
95,"Atlanta-Sandy Springs-Roswell, GA",2010,SO2,51.0
96,"Atlanta-Sandy Springs-Roswell, GA",2011,NO2,44.25
97,"Atlanta-Sandy Springs-Roswell, GA",2011,Ozone,86.24550898203593
98,"Atlanta-Sandy Springs-Roswell, GA",2011,PM2.5,55.010416666666664
99,"Atlanta-Sandy Springs-Roswell, GA",2011,SO2,30.0
100,"Atlanta-Sandy Springs-Roswell, GA",2012,NO2,38.0
101,"Atlanta-Sandy Springs-Roswell, GA",2012,Ozone,77.53521126760563
102,"Atlanta-Sandy Springs-Roswell, GA",2012,PM2.5,57.0762331838565
103,"Atlanta-Sandy Springs-Roswell, GA",2013,NO2,36.833333333333336
104,"Atlanta-Sandy Springs-Roswell, GA",2013,Ozone,60.42372881355932
105,"Atlanta-Sandy Springs-Roswell, GA",2013,PM2.5,52.219917012448136
106,"Atlanta-Sandy Springs-Roswell, GA",2014,NO2,45.0
107,"Atlanta-Sandy Springs-Roswell, GA",2014,Ozone,64.80327868852459
108,"Atlanta-Sandy Springs-Roswell, GA",2014,PM2.5,55.31666666666667
109,"Atlanta-Sandy Springs-Roswell, GA",2015,NO2,39.75
110,"Atlanta-Sandy Springs-Roswell, GA",2015,Ozone,67.26771653543307
111,"Atlanta-Sandy Springs-Roswell, GA",2015,PM2.5,53.32051282051282
112,"Atlanta-Sandy Springs-Roswell, GA",2016,NO2,43.5
113,"Atlanta-Sandy Springs-Roswell, GA",2016,Ozone,72.60130718954248
114,"Atlanta-Sandy Springs-Roswell, GA",2016,PM2.5,55.720379146919434
115,"Atlanta-Sandy Springs-Roswell, GA",2017,NO2,42.3125
116,"Atlanta-Sandy Springs-Roswell, GA",2017,Ozone,58.339506172839506
117,"Atlanta-Sandy Springs-Roswell, GA",2017,PM2.5,52.25668449197861
118,"Austin-Round Rock, TX",1990,CO,45.86666666666667
119,"Austin-Round Rock, TX",1990,NO2,40.120879120879124
120,"Austin-Round Rock, TX",1990,Ozone,47.251937984496124
121,"Austin-Round Rock, TX",1990,PM10,16.0
122,"Austin-Round Rock, TX",1991,CO,31.142857142857142
123,"Austin-Round Rock, TX",1991,NO2,37.6063829787234
124,"Austin-Round Rock, TX",1991,Ozone,48.65098039215686
125,"Austin-Round Rock, TX",1991,PM10,34.44444444444444
126,"Austin-Round Rock, TX",1992,CO,32.166666666666664
127,"Austin-Round Rock, TX",1992,NO2,40.7536231884058
128,"Austin-Round Rock, TX",1992,Ozone,47.408088235294116
129,"Austin-Round Rock, TX",1992,PM10,36.166666666666664
130,"Austin-Round Rock, TX",1993,CO,28.0
131,"Austin-Round Rock, TX",1993,NO2,35.888888888888886
132,"Austin-Round Rock, TX",1993,Ozone,43.1044776119403
133,"Austin-Round Rock, TX",1993,PM10,39.285714285714285
134,"Austin-Round Rock, TX",1994,CO,46.407407407407405
135,"Austin-Round Rock, TX",1994,NO2,38.28089887640449
136,"Austin-Round Rock, TX",1994,Ozone,51.573170731707314
137,"Austin-Round Rock, TX",1994,PM10,36.0
138,"Austin-Round Rock, TX",1995,CO,36.0
139,"Austin-Round Rock, TX",1995,NO2,39.91304347826087
140,"Austin-Round Rock, TX",1995,Ozone,62.46694214876033
141,"Austin-Round Rock, TX",1995,PM10,29.8
142,"Austin-Round Rock, TX",1996,CO,22.0
143,"Austin-Round Rock, TX",1996,NO2,38.40601503759399
144,"Austin-Round Rock, TX",1996,Ozone,42.43478260869565
145,"Austin-Round Rock, TX",1996,PM10,16.0
146,"Austin-Round Rock, TX",1997,CO,8.0
147,"Austin-Round Rock, TX",1997,NO2,25.272727272727273
148,"Austin-Round Rock, TX",1997,Ozone,45.54261363636363
149,"Austin-Round Rock, TX",1998,NO2,20.785714285714285
150,"Austin-Round Rock, TX",1998,Ozone,46.76638176638177
151,"Austin-Round Rock, TX",1999,NO2,39.666666666666664
152,"Austin-Round Rock, TX",1999,Ozone,60.21086261980831
153,"Austin-Round Rock, TX",1999,PM2.5,49.12244897959184
154,"Austin-Round Rock, TX",2000,NO2,41.6
155,"Austin-Round Rock, TX",2000,Ozone,69.45695364238411
156,"Austin-Round Rock, TX",2000,PM2.5,51.26190476190476
157,"Austin-Round Rock, TX",2001,Ozone,53.51807228915663
158,"Austin-Round Rock, TX",2001,PM2.5,49.84422110552764
159,"Austin-Round Rock, TX",2002,NO2,39.0
160,"Austin-Round Rock, TX",2002,Ozone,57.92857142857143
161,"Austin-Round Rock, TX",2002,PM2.5,49.32057416267943
162,"Austin-Round Rock, TX",2003,NO2,26.0
163,"Austin-Round Rock, TX",2003,Ozone,52.663120567375884
164,"Austin-Round Rock, TX",2003,PM10,45.0
165,"Austin-Round Rock, TX",2003,PM2.5,50.88732394366197
166,"Austin-Round Rock, TX",2004,NO2,24.357142857142858
167,"Austin-Round Rock, TX",2004,Ozone,43.27065527065527
168,"Austin-Round Rock, TX",2004,PM10,47.0
169,"Austin-Round Rock, TX",2005,NO2,35.833333333333336
170,"Austin-Round Rock, TX",2005,Ozone,60.35353535353536
171,"Austin-Round Rock, TX",2005,PM2.5,45.88198757763975
172,"Austin-Round Rock, TX",2006,NO2,53.75
173,"Austin-Round Rock, TX",2006,Ozone,58.57142857142857
174,"Austin-Round Rock, TX",2006,PM2.5,49.78048780487805
175,"Austin-Round Rock, TX",2007,Ozone,48.32820512820513
176,"Austin-Round Rock, TX",2007,PM2.5,45.95882352941177
177,"Austin-Round Rock, TX",2008,NO2,30.0
178,"Austin-Round Rock, TX",2008,Ozone,50.68292682926829
179,"Austin-Round Rock, TX",2008,PM2.5,48.26875
180,"Austin-Round Rock, TX",2009,Ozone,46.86697247706422
181,"Austin-Round Rock, TX",2009,PM10,31.5
182,"Austin-Round Rock, TX",2009,PM2.5,49.06896551724138
183,"Austin-Round Rock, TX",2010,Ozone,46.0
184,"Austin-Round Rock, TX",2010,PM2.5,46.10294117647059
185,"Austin-Round Rock, TX",2011,NO2,25.5
186,"Austin-Round Rock, TX",2011,Ozone,53.31196581196581
187,"Austin-Round Rock, TX",2011,PM2.5,50.565891472868216
188,"Austin-Round Rock, TX",2012,NO2,37.333333333333336
189,"Austin-Round Rock, TX",2012,Ozone,48.93617021276596
190,"Austin-Round Rock, TX",2012,PM2.5,47.5390625
191,"Austin-Round Rock, TX",2013,NO2,25.0
192,"Austin-Round Rock, TX",2013,Ozone,46.520930232558136
193,"Austin-Round Rock, TX",2013,PM2.5,48.13422818791946
194,"Austin-Round Rock, TX",2014,NO2,35.0
195,"Austin-Round Rock, TX",2014,Ozone,43.569148936170215
196,"Austin-Round Rock, TX",2014,PM10,73.0
197,"Austin-Round Rock, TX",2014,PM2.5,49.81707317073171
198,"Austin-Round Rock, TX",2015,NO2,38.07142857142857
199,"Austin-Round Rock, TX",2015,Ozone,49.786802030456855
200,"Austin-Round Rock, TX",2015,PM2.5,47.128571428571426
201,"Austin-Round Rock, TX",2016,NO2,37.05555555555556
202,"Austin-Round Rock, TX",2016,Ozone,42.83111111111111
203,"Austin-Round Rock, TX",2016,PM10,59.0
204,"Austin-Round Rock, TX",2016,PM2.5,46.868852459016395
205,"Austin-Round Rock, TX",2017,NO2,38.166666666666664
206,"Austin-Round Rock, TX",2017,Ozone,44.983870967741936
207,"Austin-Round Rock, TX",2017,PM2.5,47.96894409937888
208,"Dallas-Fort Worth-Arlington, TX",1990,CO,42.4375
209,"Dallas-Fort Worth-Arlington, TX",1990,NO2,44.84
210,"Dallas-Fort Worth-Arlington, TX",1990,Ozone,77.69098712446352
211,"Dallas-Fort Worth-Arlington, TX",1990,PM10,43.76190476190476
212,"Dallas-Fort Worth-Arlington, TX",1990,SO2,43.3
213,"Dallas-Fort Worth-Arlington, TX",1991,CO,36.166666666666664
214,"Dallas-Fort Worth-Arlington, TX",1991,NO2,44.945945945945944
215,"Dallas-Fort Worth-Arlington, TX",1991,Ozone,75.2970711297071
216,"Dallas-Fort Worth-Arlington, TX",1991,PM10,53.285714285714285
217,"Dallas-Fort Worth-Arlington, TX",1991,SO2,42.5
218,"Dallas-Fort Worth-Arlington, TX",1992,CO,47.714285714285715
219,"Dallas-Fort Worth-Arlington, TX",1992,NO2,42.972477064220186
220,"Dallas-Fort Worth-Arlington, TX",1992,Ozone,70.78297872340426
221,"Dallas-Fort Worth-Arlington, TX",1992,PM10,50.857142857142854
222,"Dallas-Fort Worth-Arlington, TX",1992,SO2,29.0
223,"Dallas-Fort Worth-Arlington, TX",1993,CO,34.214285714285715
224,"Dallas-Fort Worth-Arlington, TX",1993,NO2,40.932038834951456
225,"Dallas-Fort Worth-Arlington, TX",1993,Ozone,65.72103004291846
226,"Dallas-Fort Worth-Arlington, TX",1993,PM10,45.6
227,"Dallas-Fort Worth-Arlington, TX",1994,CO,41.285714285714285
228,"Dallas-Fort Worth-Arlington, TX",1994,NO2,41.6375
229,"Dallas-Fort Worth-Arlington, TX",1994,Ozone,81.68076923076923
230,"Dallas-Fort Worth-Arlington, TX",1994,PM10,52.0
231,"Dallas-Fort Worth-Arlington, TX",1994,SO2,36.0
232,"Dallas-Fort Worth-Arlington, TX",1995,CO,69.0
233,"Dallas-Fort Worth-Arlington, TX",1995,NO2,44.54929577464789
234,"Dallas-Fort Worth-Arlington, TX",1995,Ozone,91.60538116591928
235,"Dallas-Fort Worth-Arlington, TX",1995,PM10,53.2
236,"Dallas-Fort Worth-Arlington, TX",1995,SO2,72.26153846153846
237,"Dallas-Fort Worth-Arlington, TX",1996,CO,33.5
238,"Dallas-Fort Worth-Arlington, TX",1996,NO2,44.58974358974359
239,"Dallas-Fort Worth-Arlington, TX",1996,Ozone,85.88775510204081
240,"Dallas-Fort Worth-Arlington, TX",1996,PM10,56.05882352941177
241,"Dallas-Fort Worth-Arlington, TX",1996,SO2,78.79452054794521
242,"Dallas-Fort Worth-Arlington, TX",1997,CO,52.0
243,"Dallas-Fort Worth-Arlington, TX",1997,NO2,40.723684210526315
244,"Dallas-Fort Worth-Arlington, TX",1997,Ozone,83.04803493449782
245,"Dallas-Fort Worth-Arlington, TX",1997,PM10,67.55555555555556
246,"Dallas-Fort Worth-Arlington, TX",1997,SO2,72.36
247,"Dallas-Fort Worth-Arlington, TX",1998,NO2,39.2183908045977
248,"Dallas-Fort Worth-Arlington, TX",1998,Ozone,97.87064676616916
249,"Dallas-Fort Worth-Arlington, TX",1998,PM10,48.9
250,"Dallas-Fort Worth-Arlington, TX",1998,SO2,75.25373134328358
251,"Dallas-Fort Worth-Arlington, TX",1999,NO2,48.280701754385966
252,"Dallas-Fort Worth-Arlington, TX",1999,Ozone,107.73684210526316
253,"Dallas-Fort Worth-Arlington, TX",1999,PM10,55.0
254,"Dallas-Fort Worth-Arlington, TX",1999,PM2.5,60.32835820895522
255,"Dallas-Fort Worth-Arlington, TX",1999,SO2,85.18181818181819
256,"Dallas-Fort Worth-Arlington, TX",2000,NO2,45.8
257,"Dallas-Fort Worth-Arlington, TX",2000,Ozone,115.12295081967213
258,"Dallas-Fort Worth-Arlington, TX",2000,PM10,44.0
259,"Dallas-Fort Worth-Arlington, TX",2000,PM2.5,59.04201680672269
260,"Dallas-Fort Worth-Arlington, TX",2000,SO2,95.68518518518519
261,"Dallas-Fort Worth-Arlington, TX",2001,NO2,46.25
262,"Dallas-Fort Worth-Arlington, TX",2001,Ozone,98.8258064516129
263,"Dallas-Fort Worth-Arlington, TX",2001,PM2.5,59.96
264,"Dallas-Fort Worth-Arlington, TX",2001,SO2,89.87671232876713
265,"Dallas-Fort Worth-Arlington, TX",2002,NO2,46.04545454545455
266,"Dallas-Fort Worth-Arlington, TX",2002,Ozone,95.7125
267,"Dallas-Fort Worth-Arlington, TX",2002,PM10,52.0
268,"Dallas-Fort Worth-Arlington, TX",2002,PM2.5,56.664556962025316
269,"Dallas-Fort Worth-Arlington, TX",2002,SO2,66.875
270,"Dallas-Fort Worth-Arlington, TX",2003,NO2,47.30434782608695
271,"Dallas-Fort Worth-Arlington, TX",2003,Ozone,95.50299401197604
272,"Dallas-Fort Worth-Arlington, TX",2003,PM10,48.5
273,"Dallas-Fort Worth-Arlington, TX",2003,PM2.5,60.446666666666665
274,"Dallas-Fort Worth-Arlington, TX",2003,SO2,78.78260869565217
275,"Dallas-Fort Worth-Arlington, TX",2004,NO2,42.266666666666666
276,"Dallas-Fort Worth-Arlington, TX",2004,Ozone,87.5609756097561
277,"Dallas-Fort Worth-Arlington, TX",2004,PM2.5,54.45238095238095
278,"Dallas-Fort Worth-Arlington, TX",2004,SO2,60.63157894736842
279,"Dallas-Fort Worth-Arlington, TX",2005,NO2,42.166666666666664
280,"Dallas-Fort Worth-Arlington, TX",2005,Ozone,106.36363636363636
281,"Dallas-Fort Worth-Arlington, TX",2005,PM2.5,56.260162601626014
282,"Dallas-Fort Worth-Arlington, TX",2005,SO2,76.23728813559322
283,"Dallas-Fort Worth-Arlington, TX",2006,NO2,43.65714285714286
284,"Dallas-Fort Worth-Arlington, TX",2006,Ozone,91.89944134078212
285,"Dallas-Fort Worth-Arlington, TX",2006,PM2.5,56.82178217821782
286,"Dallas-Fort Worth-Arlington, TX",2006,SO2,72.06
287,"Dallas-Fort Worth-Arlington, TX",2007,NO2,48.266666666666666
288,"Dallas-Fort Worth-Arlington, TX",2007,Ozone,79.59210526315789
289,"Dallas-Fort Worth-Arlington, TX",2007,PM2.5,53.473684210526315
290,"Dallas-Fort Worth-Arlington, TX",2007,SO2,76.0
291,"Dallas-Fort Worth-Arlington, TX",2008,NO2,42.67567567567568
292,"Dallas-Fort Worth-Arlington, TX",2008,Ozone,77.53142857142858
293,"Dallas-Fort Worth-Arlington, TX",2008,PM2.5,58.2
294,"Dallas-Fort Worth-Arlington, TX",2008,SO2,67.44444444444444
295,"Dallas-Fort Worth-Arlington, TX",2009,NO2,43.21875
296,"Dallas-Fort Worth-Arlington, TX",2009,Ozone,76.5
297,"Dallas-Fort Worth-Arlington, TX",2009,PM10,50.5
298,"Dallas-Fort Worth-Arlington, TX",2009,PM2.5,52.22377622377623
299,"Dallas-Fort Worth-Arlington, TX",2010,NO2,44.869565217391305
300,"Dallas-Fort Worth-Arlington, TX",2010,Ozone,66.81865284974093
301,"Dallas-Fort Worth-Arlington, TX",2010,PM10,54.0
302,"Dallas-Fort Worth-Arlington, TX",2010,PM2.5,52.9054054054054
303,"Dallas-Fort Worth-Arlington, TX",2011,NO2,41.041666666666664
304,"Dallas-Fort Worth-Arlington, TX",2011,Ozone,83.26960784313725
305,"Dallas-Fort Worth-Arlington, TX",2011,PM10,64.5
306,"Dallas-Fort Worth-Arlington, TX",2011,PM2.5,56.67910447761194
307,"Dallas-Fort Worth-Arlington, TX",2011,SO2,67.0
308,"Dallas-Fort Worth-Arlington, TX",2012,NO2,40.61538461538461
309,"Dallas-Fort Worth-Arlington, TX",2012,Ozone,79.0204081632653
310,"Dallas-Fort Worth-Arlington, TX",2012,PM2.5,55.36305732484077
311,"Dallas-Fort Worth-Arlington, TX",2013,NO2,42.55555555555556
312,"Dallas-Fort Worth-Arlington, TX",2013,Ozone,75.04395604395604
313,"Dallas-Fort Worth-Arlington, TX",2013,PM10,58.2
314,"Dallas-Fort Worth-Arlington, TX",2013,PM2.5,56.562130177514796
315,"Dallas-Fort Worth-Arlington, TX",2014,NO2,40.095238095238095
316,"Dallas-Fort Worth-Arlington, TX",2014,Ozone,62.64824120603015
317,"Dallas-Fort Worth-Arlington, TX",2014,PM10,71.33333333333333
318,"Dallas-Fort Worth-Arlington, TX",2014,PM2.5,54.1063829787234
319,"Dallas-Fort Worth-Arlington, TX",2014,SO2,102.0
320,"Dallas-Fort Worth-Arlington, TX",2015,NO2,39.666666666666664
321,"Dallas-Fort Worth-Arlington, TX",2015,Ozone,64.69333333333333
322,"Dallas-Fort Worth-Arlington, TX",2015,PM2.5,51.496
323,"Dallas-Fort Worth-Arlington, TX",2016,NO2,44.5
324,"Dallas-Fort Worth-Arlington, TX",2016,Ozone,56.71900826446281
