CBSA,Year,AQI
"Atlanta-Sandy Springs-Roswell, GA",1990,119.2982456
"Atlanta-Sandy Springs-Roswell, GA",1991,84.66483516
"Atlanta-Sandy Springs-Roswell, GA",1992,93.39864865
"Atlanta-Sandy Springs-Roswell, GA",1993,103.1268293
"Atlanta-Sandy Springs-Roswell, GA",1994,81.42564103
"Atlanta-Sandy Springs-Roswell, GA",1995,96.92647059
"Atlanta-Sandy Springs-Roswell, GA",1996,96.35465116
"Atlanta-Sandy Springs-Roswell, GA",1997,98.03614458
"Atlanta-Sandy Springs-Roswell, GA",1998,119.7807487
"Atlanta-Sandy Springs-Roswell, GA",1999,149.9448819
"Atlanta-Sandy Springs-Roswell, GA",2000,128.4538462
"Atlanta-Sandy Springs-Roswell, GA",2001,110.4205607
"Atlanta-Sandy Springs-Roswell, GA",2002,121.875
"Atlanta-Sandy Springs-Roswell, GA",2003,108.1075269
"Atlanta-Sandy Springs-Roswell, GA",2004,92.81651376
"Atlanta-Sandy Springs-Roswell, GA",2005,107.6016949
"Atlanta-Sandy Springs-Roswell, GA",2006,118.9913793
"Atlanta-Sandy Springs-Roswell, GA",2007,111
"Atlanta-Sandy Springs-Roswell, GA",2008,99.55263158
"Atlanta-Sandy Springs-Roswell, GA",2009,77.88421053
"Atlanta-Sandy Springs-Roswell, GA",2010,83.53020134
"Atlanta-Sandy Springs-Roswell, GA",2011,86.24550898
"Atlanta-Sandy Springs-Roswell, GA",2012,77.53521127
"Atlanta-Sandy Springs-Roswell, GA",2013,60.42372881
"Atlanta-Sandy Springs-Roswell, GA",2014,64.80327869
"Atlanta-Sandy Springs-Roswell, GA",2015,67.26771654
"Atlanta-Sandy Springs-Roswell, GA",2016,72.60130719
"Atlanta-Sandy Springs-Roswell, GA",2017,58.33950617
