CBSA,Year,AQI
"Nashville-Davidson--Murfreesboro--Franklin, TN",1990,110.3829787
"Nashville-Davidson--Murfreesboro--Franklin, TN",1991,91.32038835
"Nashville-Davidson--Murfreesboro--Franklin, TN",1992,75.18269231
"Nashville-Davidson--Murfreesboro--Franklin, TN",1993,95.59821429
"Nashville-Davidson--Murfreesboro--Franklin, TN",1994,98.47222222
"Nashville-Davidson--Murfreesboro--Franklin, TN",1995,88.52475248
"Nashville-Davidson--Murfreesboro--Franklin, TN",1996,80.45989305
"Nashville-Davidson--Murfreesboro--Franklin, TN",1997,79.03482587
"Nashville-Davidson--Murfreesboro--Franklin, TN",1998,92.67525773
"Nashville-Davidson--Murfreesboro--Franklin, TN",1999,111.6174863
"Nashville-Davidson--Murfreesboro--Franklin, TN",2000,102.9851852
"Nashville-Davidson--Murfreesboro--Franklin, TN",2001,84.6259542
"Nashville-Davidson--Murfreesboro--Franklin, TN",2002,91.61068702
"Nashville-Davidson--Murfreesboro--Franklin, TN",2003,85.39837398
"Nashville-Davidson--Murfreesboro--Franklin, TN",2004,67.37209302
"Nashville-Davidson--Murfreesboro--Franklin, TN",2005,88.13934426
"Nashville-Davidson--Murfreesboro--Franklin, TN",2006,84.921875
"Nashville-Davidson--Murfreesboro--Franklin, TN",2007,93.16993464
"Nashville-Davidson--Murfreesboro--Franklin, TN",2008,72.20979021
"Nashville-Davidson--Murfreesboro--Franklin, TN",2009,56.12396694
"Nashville-Davidson--Murfreesboro--Franklin, TN",2010,71.08928571
"Nashville-Davidson--Murfreesboro--Franklin, TN",2011,67.10344828
"Nashville-Davidson--Murfreesboro--Franklin, TN",2012,69.73529412
"Nashville-Davidson--Murfreesboro--Franklin, TN",2013,49.66666667
"Nashville-Davidson--Murfreesboro--Franklin, TN",2014,53.90322581
"Nashville-Davidson--Murfreesboro--Franklin, TN",2015,51.92372881
"Nashville-Davidson--Murfreesboro--Franklin, TN",2016,53.33121019
"Nashville-Davidson--Murfreesboro--Franklin, TN",2017,49.21323529
